Latitude,Longitude,Year,Data
64.253876,-15.212117,1367,Human Observation
49.75,-53.182222,1527,Human Observation
49.75,-53.182222,1534,Human Observation
49.75,-53.182222,1535,Human Observation
47.534472,-56.884363,1536,Human Observation
48.7,-53.083333,1540,Human Observation
57.8,-8.633333,1549,Human Observation
65,20,1574,Human Observation
49.256111,-53.464167,1578,Human Observation
49.75,-53.182222,1583,Human Observation
49.256111,-53.464167,1591,Human Observation
46.517445,-61.074097,1593,Human Observation
41.471794,-70.01294,1602,Human Observation
43.65,-66.033333,1604,Human Observation
43.945916,-69.295325,1605,Human Observation
36.877064,-75.957031,1607,Human Observation
50.755532,-56,1613,Human Observation
49,-56,1616,Human Observation
49,-56,1618,Human Observation
49.75,-53.182222,1622,Human Observation
63.32,-20.5,1624,Human Observation
63.32,-20.5,1637,Human Observation
70.397915,-22.866818,1652,Human Observation
62,-7,1655,Human Observation
-52.815556,1663,1663,Human Observation
61.902752,-6.993656,1670,Human Observation
43.5667,-70.3167,1672,Human Observation
49.75,-53.182222,1672,Human Observation
57.817355,-8.576538,1697,Human Observation
57.817355,-8.576538,1698,Human Observation
57.885355,11.583412,1700,Human Observation
63.32,-20.5,1703,Human Observation
47.534472,-56.884363,1713,Human Observation
47.534472,-56.884363,1714,Human Observation
47.383322,-56.999205,1718,Human Observation
63.32,-20.5,1729,Human Observation
63.32,-20.5,1732,Human Observation
55.3,-6.2,1740,Human Observation
72,-40,1741,Human Observation
63.32,-20.5,1746,Human Observation
63.32,-20.5,1746,Human Observation
55.633139,-1.616667,1750,Human Observation
63.32,-20.5,1752,Human Observation
63.32,-20.5,1752,Human Observation
54.65,-8.116667,1752,Human Observation
63.916667,-22.25,1755,Human Observation
63.32,-20.5,1760,Human Observation
46.517445,-61.074097,1760,Human Observation
60.371428,4.904495,1762,Human Observation
41.29515,-70.140442,1762,Human Observation
49.453288,-53.793679,1766,Human Observation
49.078333,-58.346111,1766,Human Observation
47.383322,-56.999205,1766,Human Observation
49.75,-53.182222,1767,Human Observation
63.916667,-22.25,1770,Human Observation
54,-60,1771,Human Observation
72.202587,-55.996094,1771,Human Observation
54,-60,1774,Human Observation
41.762732,-70.721702,1775,Human Observation
54.321944,10.134167,1790,Human Observation
47.570924,-52.673889,1794,Human Observation
54.321944,10.134167,1794,Human Observation
59.53472,-1.62861,1798,Human Observation
62,-7,1799,Human Observation
63.434895,-20.271129,1800,Human Observation
66.442274,-22.765062,1802,Human Observation
54.65,-8.116667,1802,Human Observation
62,-7,1802,Human Observation
66.442274,-22.765062,1803,Human Observation
63.32,-20.5,1808,Human Observation
63.32,-20.5,1808,Human Observation
65.712143,-14.466381,1808,Human Observation
64.016667,-22.55,1809,Human Observation
63.32,-20.5,1813,Human Observation
63.32,-20.5,1813,Human Observation
56.3,11.3,1814,Human Observation
65.493245,-24.46158,1814,Human Observation
66.216667,13.3,1817,Human Observation
63.401309,-18.978027,1818,Human Observation
49.453288,-53.793679,1818,Human Observation
49.453288,-53.793679,1819,Human Observation
49.453288,-53.793679,1820,Human Observation
57.916667,-6.833333,1821,Human Observation
49.453288,-53.793679,1821,Human Observation
63.32,-20.5,1821,Human Observation
57.817355,-8.576538,1821,Human Observation
49.453288,-53.793679,1822,Human Observation
49.453288,-53.793679,1823,Human Observation
63.32,20.5,1828,Human Observation
62,-7,1828,Human Observation
51.166667,-4.666667,1829,Human Observation
57.817355,-8.576538,1829,Human Observation
49.29643,-0.101624,1830,Human Observation
63.739508,-22.966522,1831,Human Observation
57,-4.25,1832,Human Observation
53.333333,-8,1832,Human Observation
49.453288,-53.793679,1832,Human Observation
63.739508,-22.966522,1832,Human Observation
63.32,20.5,1833,Human Observation
49,-56,1833,Human Observation
63.739508,-22.966522,1836,Human Observation
59.216667,10.95,1837,Human Observation
54,-4,1838,Human Observation
57.3,-6.25,1840,Human Observation
57.817355,-8.576538,1840,Human Observation
46,-58,1840,Human Observation
63.329846,-20.396578,1842,Human Observation
51.566667,-8.966667,1844,Human Observation
44.411743,-68.965867,1845,Human Observation
63.32,20.5,1846,Human Observation
70.369862,31.113923,1848,Human Observation
63.739508,-22.966522,1849,Human Observation
45.5,-50.5,1852,Human Observation
48,-53.499167,1853,Human Observation
48.978372,-58.515869,1856,Human Observation
63.89613,-22.747131,1857,Human Observation
72,-40,1859,Human Observation
72,-40,1859,Human Observation
64.907948,-13.601505,1869,Human Observation
63.32,20.5,1870,Human Observation
51.14417,-58.442777,1870,Human Observation
62,-7,1870,Human Observation